traffic_data-adwords.Positions-us-20250126-2025-01-27T11_22_24Z,,,,,,,,,,,,,
Simplilearn Courses | Online Courses,simplilearn courses,1,1,70,6.31,3,0.01,18,0.02,0.38,3310000,2025-01-09,52
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master course,3,3,390,5.46,3,0.01,16,0.02,0.43,49100000,2025-01-18,60
Product Owner (CSPO®) Course | Limited Offer: Flat $279 Off,a certified scrum product owner,1,1,70,3.02,3,0.01,9,0.01,0.42,8800000,2025-01-16,44
Master ITIL 4 Foundation - Clear ITIL Exam on 1st Attempt,itil foundation mock test,1,1,70,1.8,3,0.01,5,0,0.26,277000,2025-01-24,12
Simplilearn PMP® Course | Special Offer: Get $400 Off,siplilearn,1,1,70,1.88,3,0.01,5,0,0.16,4790000,2025-01-02,38
Simplilearn Online Bootcamps | Level Up Your Skills,simplielarn,1,1,70,2.31,3,0.01,6,0,0.14,4260000,2025-01-23,62
Simplilearn® Courses | Online Certification Courses,simplielearn,1,0,70,2.31,3,0.01,6,0,0.14,4490000,2025-01-26,58
Simplilearn Online Bootcamps | Online Certification Courses,simplilear,1,1,70,1.88,3,0.01,5,0,0.16,4610000,2025-01-02,68
Simplilearn® Official Site | Online Certification Courses,simply lern,1,1,70,0,3,0.01,0,0,0,4130000,2025-01-22,47
Master ITIL 4 Foundation - 100+ Premium Exam Questions,itil foundation mock exam,1,1,70,2.67,3,0.01,8,0.01,0.28,313000,2024-12-31,16
AWS Certified Cloud Practioner | Today's offer- Flat $300 Off,best aws learning tutorial,5,5,720,0,3,0.01,0,0,0,45700000,2025-01-23,47
Simplilearn Online Bootcamps | Online Certification Courses,simplilearns,1,1,50,2.31,2,0.01,4,0,0.14,4410000,2025-01-17,76
PMP® Certification Course | Flat 40% Off - Enroll Now,pmp certification courses online,3,3,260,9.78,2,0.01,19,0.02,0.62,8930000,2024-12-27,57
PMP® Certification | Flat 40% Off - Enroll Now,online pmp certification training,1,1,50,11.09,2,0.01,22,0.03,0.48,7540000,2024-12-27,57
CSM Scrum Master Course Online | Limited-time Offer: $270 Only,csm scrum master certification,2,2,210,3.23,2,0.01,6,0,0.4,4620000,2025-01-25,48
PMP® Training & Exam | Confidently Ace The PMP Exam,pmp prep classes,5,5,590,10.08,2,0.01,20,0.03,0.55,490000,2025-01-01,49
Simplilearn Online Bootcamps | Launch Your Career,simplilerarn,1,1,50,2.31,2,0.01,4,0,0.14,4770000,2025-01-06,39
PMP® Exam & Certification - Confidently Ace The PMP Exam,pmp test requirements,3,3,260,1.67,2,0.01,3,0,0.31,64800000,2025-01-01,47
ITIL Certification Cost - 100% Exam Pass Guarantee,itil 4 foundation exam cost,3,0,320,2.48,2,0.01,4,0,0.47,1050000,2025-01-26,24
Simplilearn® Courses,simple lern,1,1,50,2.31,2,0.01,4,0,0.14,4340000,2025-01-21,
CAPM® Exam Prep in 3 Weeks | Ace CAPM® Exam in 1st Attempt,capm course,6,0,590,4.5,2,0.01,9,0.01,0.71,8770000,2025-01-26,44
PMP® Certification Training | Flat 40% Off - Enroll Now,how much does it cost to do pmp-acp,4,4,390,0,2,0.01,0,0,0,1910000,2025-01-05,22
ITIL Certification Now - 4 Mock Tests | 30+ Quizzes,itil foundation test online,1,1,30,3.34,1,0,3,0,0.6,797000,2025-01-04,17
ITIL Certification Course | Clear ITIL Exam on 1st Attempt,itil certification course online,1,1,40,6.05,1,0,6,0,0.24,4950000,2025-01-22,32
PMP® Certification Training - Ace PMP Exam in 1st Attempt,pmp exam prep free,1,1,40,2.59,1,0,2,0,0.63,2620000,2025-01-24,30
Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,certified associate in project management capm course,2,2,110,6.11,1,0,6,0,0.75,328000,2025-01-21,27
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp certificaiton,2,2,140,3.38,1,0,3,0,0.62,200000000,2025-01-12,77
Simplilearn® Courses | Online Certification Courses,smplilearn,2,2,140,2.31,1,0,2,0,0.14,4210000,2025-01-22,49
Simplilearn® ITIL Programs | Online Certification Courses,simplilearn artificial intelligence engineer,1,1,30,4.19,1,0,4,0,0.43,108000,2025-01-23,33
ITIL Foundations Course | 100% Exam Pass Guarantee,itil foundation training,4,4,170,6.12,1,0,6,0,0.42,8940000,2025-01-14,36
PMP® Certification | Ace PMP Exam in 1st Attempt,certificado de gestion de proyectos,1,1,40,7.08,1,0,7,0.01,0.53,80600000,2025-01-13,18
TOGAF® Certification Price - TOGAF® Free Exam Retake,togaf certification training,2,2,90,4.43,1,0,4,0,0.47,1050000,2025-01-21,33
Simplilearn Online Bootcamps - Online Certification Courses,simplileaern,2,2,140,2.31,1,0,2,0,0.14,4480000,2025-01-18,38
ITIL Certification Course | 100% Exam Pass Guarantee,itil certification training,2,2,140,5.19,1,0,5,0,0.49,11800000,2025-01-22,54
Become a Certified ScrumMaster | Today's Offer: Up To 51%...,certified scrummaster csm,3,3,140,3.23,1,0,3,0,0.4,4120000,2025-01-18,60
TOGAF® Enterprise Architecture | Enroll in TOGAF® Course Now,udacity enterprise architecture,4,4,260,0,1,0,0,0,0,131000,2025-01-06,20
Simplilearn ITIL 4 Training | Online Certification Courses,simplilearn itil,1,1,40,8.9,1,0,8,0.01,0.48,92100,2025-01-05,41
Simplilearn® Official Site - Online Certification Courses,simplilearn.com,1,1,40,2.44,1,0,2,0,0.18,4690000,2025-01-15,77
Simplilearn® Training Programs | Get Certified. Get Ahead.,simplilearn cloud architect,1,1,40,0,1,0,0,0,0.05,372000,2025-01-13,34
ITIL Certification Course | Clear ITIL Exam on 1st Attempt,itl certification,1,1,30,2.33,1,0,2,0,0.49,15500000,2025-01-10,47
Simplilearn Online Bootcamps | Trusted by 3 Million+ Learners,simplearn,1,1,30,2.31,1,0,2,0,0.14,4270000,2025-01-21,44
Master ITIL 4 Foundation - Clear ITIL Exam on 1st Attempt,itil 4 foundation mock exam,1,1,30,2.78,1,0,2,0,0.4,402000,2025-01-09,15
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp courses online free,1,1,40,4.61,1,0,4,0,0.46,53900000,2025-01-18,28
ITIL Foundations Course | 100% Exam Pass Guarantee,itil 4 foundation certification,6,6,390,3.33,1,0,3,0,0.52,9890000,2025-01-09,44
PMI Certified PMP® Training | Flat 40% Off - Enroll Now,pmi project management course,3,3,210,4.57,1,0,4,0,0.48,25400000,2024-12-28,62
Simplilearn® Courses | Online Certification Courses,simplilearn data science,2,2,90,7.24,1,0,7,0.01,0.43,1630000,2025-01-05,51
Become Certified Scrum Master | Today's Offer: Up To 51% Off,certified scrum master csm certification,3,3,170,3.37,1,0,3,0,0.38,1910000,2024-12-28,51
Simplilearn ITIL V4 | Online Certification Courses,simplilearn cissp,1,1,30,5.91,1,0,5,0,0.63,46,2025-01-05,37
CSM Scrum Master Course Online | Limited-time Offer: $270 Only,csm class,3,3,140,3.62,1,0,3,0,0.09,69900000,2025-01-12,42
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn full stack developer,2,2,110,7.51,1,0,7,0.01,0.7,333000,2025-01-12,50
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,pmp training pmi,3,3,210,3.98,1,0,3,0,0.57,5580000,2025-01-09,70
Simplilearn ITIL 4 Training - Level Up Your Skills,skillup by simplilearn,2,2,90,4.47,1,0,4,0,0.31,55,2024-12-31,49
Cloud Certification Course | Masters Certification in Cloud,caltech post graduate program in cloud computing,3,3,40,15.02,0,0,0,0,0.47,79700,2024-12-31,19
PMP® Certification Course | Flat 40% Off - Enroll Now,it project manager certification,5,5,140,7.25,0,0,0,0,0.51,262000000,2024-12-29,45
Simplilearn Online Bootcamps | Online Certification Courses,simplilearns,2,2,50,2.31,0,0,0,0,0.14,4410000,2025-01-17,76
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmi exam prep,4,4,140,5.36,0,0,0,0,0.66,5700000,2024-12-31,56
PMP® Certification | Confidently Ace The PMP Exam,best course for pmp,4,4,30,10.26,0,0,0,0,0.24,15600000,2024-12-31,39
ITIL Certification Course | 100% Exam Pass Guarantee,itil certification online,3,3,110,3.55,0,0,0,0,0.3,3810000,2025-01-03,40
ITIL Foundations Course | 100% Exam Pass Guarantee,itil online certification,2,2,30,4,0,0,0,0,0.29,11600000,2024-12-31,35
No Cost & No Hidden Fees - AWS Certification Course,best platform to learn aws,4,0,110,0,0,0,0,0,0.26,149000000,2025-01-26,38
PMP® Certification Course | Confidently Ace The PMP Exam,pmp certification what is it,4,4,70,2.08,0,0,0,0,0.28,143000000,2025-01-01,49
CAPM® Certification Training | Ace CAPM® Exam in 1st...,certified associate in project management capm course,5,5,110,6.11,0,0,0,0,0.75,328000,2025-01-21,27
PMP® Course | Confidently Ace The PMP Exam,best pmp prep course,6,6,170,8.4,0,0,0,0,0.52,1260000,2024-12-31,32
ITIL Certification Course | 100% Exam Pass Guarantee,itil classes online,3,3,70,6.05,0,0,0,0,0.24,716000,2025-01-21,33
Simplilearn® Courses | Online Certification Courses,simplilearn artificial intelligence engineer,4,4,30,9.33,0,0,0,0,0.95,149000,2024-12-27,24
Simplilearn TOGAF - Online Certification Courses,simplilearn artificial intelligence engineer,6,6,30,4.19,0,0,0,0,0.43,108000,2025-01-23,33
ITIL Foundations Course | 100% Exam Pass Guarantee,learning tree itil 4 foundation,3,3,40,2.53,0,0,0,0,0.26,235000,2024-12-31,8
PMP® Training Course | Confidently Ace The PMP Exam,purdue project management essentials,2,2,30,5.11,0,0,0,0,0.15,186000,2025-01-01,34
Project Management Training,purdue project management essentials,5,5,30,5.11,0,0,0,0,0.15,186000,2025-01-01,34
TOGAF® Enterprise Architecture | Enroll in TOGAF® Course Now,it architect certification program,4,4,110,3.68,0,0,0,0,0.22,41700000,2025-01-22,31
TOGAF® 10 Certification Course | Enroll in TOGAF® Course Now,togaf course online,2,2,40,4.94,0,0,0,0,0.4,313000,2025-01-03,21
AWS Solution Architect Course | Get AWS Associate Certificate,aws solutions architect-associate,4,4,70,3.86,0,0,0,0,0.25,11000000,2025-01-05,61
CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,get certified scrum master,3,3,40,4.15,0,0,0,0,0.79,15000000,2025-01-24,47
Online AWS CPE Course | Special Offer Get Flat 43% Off,devops certification course,4,4,50,7.78,0,0,0,0,0.46,51200000,2024-12-31,60
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification course,4,4,140,5.46,0,0,0,0,0.43,13800000,2025-01-24,62
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp training and certification cost,4,4,50,2.59,0,0,0,0,0.33,6630000,2025-01-06,37
Leading SAFe® 6 Certification | Special Offer: Get $250 Off,safe 6.0 certification,4,4,70,4.43,0,0,0,0,0.57,332000000,2025-01-22,38
PMP® Exam & Certification,pmp registered,2,2,40,5.31,0,0,0,0,0.26,51600000,2025-01-21,56
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp registered,5,5,40,5.31,0,0,0,0,0.26,51600000,2025-01-21,56
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,how to register for pmp exam,2,2,70,3.18,0,0,0,0,0.45,19900000,2025-01-15,18
CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,srum master certification,4,4,40,3.4,0,0,0,0,0.56,32400000,2024-12-31,64
SAFe® Agile Training & Exam | Special Offer: Get $250 Off,scrum safe certification,3,3,30,3.86,0,0,0,0,0.51,7270000,2025-01-26,27
PMP® Course | Confidently Ace The PMP Exam,pmp free course,3,3,110,4.18,0,0,0,0,0.57,48300000,2025-01-01,35
PMP® Certification Course,how to prepare for pmp certification,5,5,110,3.07,0,0,0,0,0.4,10200000,2025-01-13,33
PMP® Exam & Certification | Flat 40% Off - Enroll Now,what is the cost of pmp exam,4,4,40,2.18,0,0,0,0,0.4,4420000,2025-01-24,34
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,itil 4 foundation course,3,3,70,4.7,0,0,0,0,0.35,6040000,2025-01-23,46
PMP® Certification Course | Flat 40% Off - Enroll Now,pmp certification online course,6,6,170,9.78,0,0,0,0,0.62,35200000,2024-12-27,59
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,itilv4 foundation,3,3,30,3.54,0,0,0,0,0.43,1190000,2024-12-28,35
Master ITIL 4 Foundation | 100% Exam Pass Guarantee,itilv4 foundation,6,6,30,3.54,0,0,0,0,0.43,1190000,2024-12-28,35
ITIL Foundations Course | Clear ITIL Exam on 1st Attempt,itil foundations training,3,3,40,6.34,0,0,0,0,0.38,11500000,2024-12-31,32
Simplilearn PMP® Course - Limited Offer: Get $400 Off,siplilearn,2,2,70,1.88,0,0,0,0,0.16,4790000,2025-01-02,38
Simplilearn® Courses | Online Certification Courses,simplielearn,2,2,70,1.88,0,0,0,0,0.16,4820000,2024-12-29,44
CSPO® Certification - Special Offer: Flat $279 Off,knowledgehut cspo,2,2,30,46.86,0,0,0,0,0.23,54,2024-12-31,14
Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,capm training classes,2,2,70,5.62,0,0,0,0,0.4,952000,2025-01-16,39
Become Certified Scrum Master | Limited-time Offer: $270 Only,agile certified scrum master,3,3,90,3.19,0,0,0,0,0.51,16100000,2024-12-31,67
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn generative ai,3,3,30,7.87,0,0,0,0,0.85,568000,2025-01-05,41
PMP® Exam & Certification | Special Offer: Get $400 Off,pmp certificering,6,6,30,3.77,0,0,0,0,0.19,29700,2024-12-31,66
PMP® Exam & Certification - Flat 40% Off - Enroll Now,pmp certification 35 hours online training,4,4,40,7.75,0,0,0,0,0.61,28500000,2024-12-31,31
Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,scrum alliance csm certification cost,4,4,90,2.62,0,0,0,0,0.39,512000,2025-01-16,47
PMP® Certification Course,duration of pmp course,2,2,50,2.61,0,0,0,0,0.24,21900000,2025-01-22,46
TOGAF® Certification Exam Cost | TOGAF® Free Exam Retake,togaf certification price,4,4,30,1.94,0,0,0,0,0.3,384000,2025-01-13,24
Master ITIL 4 Foundation - 100% Exam Pass Guarantee,itil foundation test,2,2,50,2.49,0,0,0,0,0.53,4550000,2025-01-23,30
